Proportion,Accuracy_fixe_one,Number_fixe_one,Accuracy_fixe_zero,Number_fixe_zero
0.1,0.0,0.0,0.9997602,119.06666666666666
0.2,0.0,0.0,0.99988055,238.7
0.30000000000000004,0.0,0.0,0.99960154,357.76666666666665
0.4,0.0,0.0,0.9992831,477.4
0.5,0.0,0.0,0.998757,596.4666666666667
0.6000000000000001,0.06666666666666667,0.06666666666666667,0.99739105,716.0333333333333
0.7000000000000001,0.06666666666666667,0.06666666666666667,0.99607265,835.1
0.8,0.06666666666666667,0.06666666666666667,0.99459285,954.7333333333333
0.81,0.06666666666666667,0.06666666666666667,0.99462676,966.0
0.8200000000000001,0.06666666666666667,0.06666666666666667,0.9945747,977.8333333333334
0.8300000000000001,0.06666666666666667,0.06666666666666667,0.9943079,989.6666666666666
0.84,0.06666666666666667,0.06666666666666667,0.99416476,1001.9333333333333
0.85,0.06666666666666667,0.06666666666666667,0.9940355,1013.7666666666667
0.86,0.06666666666666667,0.06666666666666667,0.9938259,1025.6
0.87,0.06666666666666667,0.06666666666666667,0.99363863,1037.8666666666666
0.88,0.06666666666666667,0.06666666666666667,0.9934111,1049.7
0.89,0.1,0.1,0.9930403,1061.5333333333333
0.9,0.1,0.1,0.9928152,1073.7666666666667
0.91,0.1,0.1,0.9925778,1085.6
0.92,0.1,0.1,0.99229336,1097.4333333333334
0.93,0.13333333333333333,0.13333333333333333,0.9920788,1109.2333333333333
0.9400000000000001,0.18333333333333332,0.26666666666666666,0.9915036,1121.3666666666666
0.9500000000000001,0.2555555562178294,0.36666666666666664,0.99062103,1133.1
0.96,0.6333333353201548,1.2666666666666666,0.9896372,1144.0333333333333
0.97,0.8036075035730997,3.6666666666666665,0.98846847,1153.9
0.98,0.74353534,11.033333333333333,0.9877073,1158.3666666666666
0.99,0.72106874,19.966666666666665,0.9869925,1161.2666666666667
1.0,0.66946995,26.0,0.9844231,1167.5
