Proportion,Accuracy_fixe_one,Number_fixe_one,Accuracy_fixe_zero,Number_fixe_zero
0.1,0.0,0.0,1.0,94.06666666666666
0.2,0.0,0.0,1.0,188.11111111111111
0.30000000000000004,0.0,0.0,1.0,282.06666666666666
0.4,0.0,0.0,1.0,376.0444444444444
0.5,0.0,0.0,1.0,470.1111111111111
0.6000000000000001,0.0,0.0,1.0,564.1111111111111
0.7000000000000001,0.0,0.0,1.0,658.0222222222222
0.8,0.0,0.0,1.0,752.0666666666667
0.81,0.0,0.0,1.0,761.4444444444445
0.8200000000000001,0.0,0.0,1.0,770.8666666666667
0.8300000000000001,0.0,0.0,0.9999464,780.2
0.84,0.0,0.0,0.99994713,789.7333333333333
0.85,0.06666666666666667,0.17777777777777778,0.9999474,799.0
0.86,0.05555555555555555,0.3333333333333333,0.99994797,808.1111111111111
0.87,0.07830687893761529,0.4222222222222222,0.99994856,817.4
0.88,0.08055555555555556,0.5777777777777777,0.99991745,826.6222222222223
0.89,0.1006172842449612,0.7555555555555555,0.9999183,835.8888888888889
0.9,0.14691358009974162,0.9777777777777777,0.9998633,845.0444444444445
0.91,0.19349046018388535,1.2444444444444445,0.9998338,854.2222222222222
0.92,0.31604938242170544,1.7555555555555555,0.9996344,863.0444444444445
0.93,0.38326414426167804,2.466666666666667,0.99943846,871.7555555555556
0.9400000000000001,0.44096119933658173,3.533333333333333,0.9993991,880.0888888888888
0.9500000000000001,0.5108433564503988,4.8,0.99926716,888.2222222222222
0.96,0.6651568955845303,6.688888888888889,0.99908775,895.7111111111111
0.97,0.7232684426837497,9.444444444444445,0.99868494,902.3777777777777
0.98,0.8444043265448676,12.733333333333333,0.9982099,908.4666666666667
0.99,0.9286591,17.822222222222223,0.9975232,912.7777777777778
1.0,0.87580234,23.533333333333335,0.9965218,916.4666666666667
