Proportion,Accuracy_fixe_one,Number_fixe_one,Accuracy_fixe_zero,Number_fixe_zero
0.1,0.0,0.0,1.0,148.6
0.2,0.0,0.0,1.0,222.35555555555555
0.30000000000000004,0.0,0.0,1.0,300.97777777777776
0.4,0.0,0.0,1.0,382.2
0.5,0.022222222222222223,0.022222222222222223,1.0,471.35555555555555
0.6000000000000001,0.044444444444444446,0.044444444444444446,1.0,564.1111111111111
0.7000000000000001,0.08888888888888889,0.1111111111111111,1.0,657.9333333333333
0.8,0.08888888888888889,0.1111111111111111,1.0,751.8888888888889
0.81,0.08888888888888889,0.1111111111111111,1.0,761.2888888888889
0.8200000000000001,0.08888888888888889,0.1111111111111111,1.0,770.6888888888889
0.8300000000000001,0.08888888888888889,0.1111111111111111,1.0,780.0888888888888
0.84,0.08888888888888889,0.1111111111111111,0.99994713,789.4888888888889
0.85,0.08888888888888889,0.1111111111111111,0.99994767,798.8888888888889
0.86,0.1111111111111111,0.13333333333333333,0.99994826,808.2888888888889
0.87,0.12222222222222222,0.17777777777777778,0.999949,817.6222222222223
0.88,0.17037037081188625,0.26666666666666666,0.99991775,826.9333333333333
0.89,0.1648148152563307,0.4222222222222222,0.9999185,836.1777777777778
0.9,0.19000000026490954,0.5333333333333333,0.9998884,845.4666666666667
0.91,0.278395062022739,0.8666666666666667,0.99973536,854.5333333333333
0.92,0.32518518500857885,1.3333333333333333,0.9996336,863.4666666666667
0.93,0.37188983890745375,1.8666666666666667,0.99956226,872.3333333333334
0.9400000000000001,0.42796827024883694,3.022222222222222,0.99947745,880.5777777777778
0.9500000000000001,0.44612433777915106,4.533333333333333,0.99922425,888.4666666666667
0.96,0.5736375663015577,6.5777777777777775,0.9990442,895.8222222222222
0.97,0.6983397258652582,9.488888888888889,0.9987998,902.3111111111111
0.98,0.8703877144389682,13.088888888888889,0.99829024,908.1111111111111
0.99,0.92564917,18.022222222222222,0.9975048,912.5777777777778
1.0,0.8761244,23.6,0.99659884,916.4
