Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.0,0.0,0.0
0.01,0.3259259259259259,0.5333333333333333,0.016542112
0.02,0.5675925925925925,2.311111111111111,0.07976605
0.03,0.622010582010582,3.1777777777777776,0.1088626
0.04,0.802469135802469,4.977777777777778,0.17990698
0.05,0.8485397627064294,6.666666666666667,0.24155593
0.06,0.9345870211659687,8.577777777777778,0.31978667
0.07,0.9475979122547751,10.377777777777778,0.3964999
0.08,0.9313821636835053,11.955555555555556,0.45375445
0.09,0.9273886672837854,13.088888888888889,0.5039407
0.1,0.9228110328306406,14.311111111111112,0.5528395
0.11,0.9385584930837917,15.333333333333334,0.59023654
0.12,0.9340455324167503,16.2,0.6276793
0.13,0.9274821308959239,16.91111111111111,0.654231
0.14,0.9216779350917282,17.555555555555557,0.68205893
0.15,0.9205829008397671,18.22222222222222,0.70873487
0.16,0.918084651682127,18.466666666666665,0.7155818
0.17,0.9167163595512191,18.866666666666667,0.73293126
0.18,0.9159694123834593,19.066666666666666,0.73821545
0.19,0.9109722189992927,19.333333333333332,0.74393386
0.2,0.9102450418074324,19.622222222222224,0.7549509
0.21,0.9083537708748193,19.844444444444445,0.7614917
0.22,0.9064764988326297,20.044444444444444,0.7693997
0.23,0.9039983417617152,20.288888888888888,0.7754878
0.24,0.8985608434855128,20.6,0.7835786
0.25,0.8941387561372985,20.77777777777778,0.78657776
0.26,0.8957366397351819,20.933333333333334,0.7941539
0.27,0.8949647871182238,21.11111111111111,0.80051666
0.28,0.8948392033232851,21.22222222222222,0.8032142
0.29,0.8940191274466162,21.31111111111111,0.80614847
0.3,0.8928317652601501,21.57777777777778,0.81586194
0.4,0.8771956356974582,22.88888888888889,0.8544324
0.5,0.8758022809438885,23.533333333333335,0.88278294
