Proportion,Accuracy_fixe_one,Number_fixe_one,Accuracy_fixe_zero,Number_fixe_zero
0.1,0.0,0.0,1.0,94.24444444444444
0.2,0.0,0.0,1.0,188.22222222222223
0.30000000000000004,0.0,0.0,1.0,282.15555555555557
0.4,0.0,0.0,1.0,376.0888888888889
0.5,0.0,0.0,1.0,470.06666666666666
0.6000000000000001,0.0,0.0,1.0,564.0444444444445
0.7000000000000001,0.0,0.0,1.0,658.0888888888888
0.8,0.0,0.0,0.9999444,752.0444444444445
0.81,0.0,0.0,0.99994516,761.4888888888889
0.8200000000000001,0.0,0.0,0.99994576,770.8666666666667
0.8300000000000001,0.0,0.0,0.9999464,780.2666666666667
0.84,0.0,0.0,0.99994713,789.7111111111111
0.85,0.0,0.0,0.99994767,799.1333333333333
0.86,0.0,0.0,0.9999161,808.4666666666667
0.87,0.044444444444444446,0.044444444444444446,0.9999169,817.8444444444444
0.88,0.05185185273488362,0.15555555555555556,0.99989235,827.1333333333333
0.89,0.05555555555555555,0.24444444444444444,0.99989337,836.4222222222222
0.9,0.08074074056413438,0.4222222222222222,0.99983895,845.6666666666666
0.91,0.1256172842449612,0.6666666666666666,0.99973965,854.7777777777778
0.92,0.21507381598154704,1.1777777777777778,0.999681,863.6666666666666
0.93,0.23629629611968994,1.488888888888889,0.99954164,872.7333333333333
0.9400000000000001,0.34034391509162054,2.3777777777777778,0.99945766,881.2222222222222
0.9500000000000001,0.4477009892463684,3.6,0.9992748,889.4
0.96,0.5075456062952678,5.666666666666667,0.9990696,896.7333333333333
0.97,0.6553305665651957,8.533333333333333,0.9986199,903.2666666666667
0.98,0.8490120185746087,12.088888888888889,0.99802935,909.1111111111111
0.99,0.9281145,16.977777777777778,0.99729985,913.6222222222223
1.0,0.8771994,23.488888888888887,0.9966057,916.5111111111111
